Type d'établissement - Année scolaire;Libellé établissement;Adresse;Arrondissement;Code INSEE;Année scolaire;Type établissement;geo_shape;geo_point_2d
COLLEGES (année scolaire 2022/2023);STEPHANE MALLARME;29 RUE DE LA JONQUIERE;17ème Ardt;75117;2022-2023;Collège;"{""coordinates"": [2.32448159826506, 48.8934820195837], ""type"": ""Point""}";48.8934820195837, 2.32448159826506
COLLEGES (année scolaire 2023/2024);HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.332815674978112, 48.89581466967536], ""type"": ""Point""}";48.89581466967536, 2.332815674978112
COLLEGES (année scolaire 2023/2024);ROLAND DORGELES;63 RUE DE CLIGNANCOURT;18ème Ardt;75118;2023-2024;Collège;"{""coordinates"": [2.3478620292642036, 48.88824190894073], ""type"": ""Point""}";48.88824190894073, 2.3478620292642036
COLLEGES (année scolaire 2023/2024);JEAN FRANCOIS OEBEN;23 RUE DE REUILLY;12ème Ardt;75112;2023-2024;Collège;"{""coordinates"": [2.386162996918993, 48.84830590580039], ""type"": ""Point""}";48.84830590580039, 2.386162996918993
COLLEGES (année scolaire 2024/2025);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2024-2025;Collège;"{""coordinates"": [2.290514944291562, 48.87881043889032], ""type"": ""Point""}";48.87881043889032, 2.290514944291562
COLLEGES (année scolaire 2024/2025);CHARLEMAGNE;13 RUE CHARLEMAGNE;4ème Ardt;75104;2024-2025;Collège;"{""coordinates"": [2.3603556466085682, 48.85415628971142], ""type"": ""Point""}";48.85415628971142, 2.3603556466085682
COLLEGES (année scolaire 2024/2025);ANNE FRANK;38 RUE TROUSSEAU;11ème Ardt;75111;2024-2025;Collège;"{""coordinates"": [2.379036766249539, 48.85192514675005], ""type"": ""Point""}";48.85192514675005, 2.379036766249539
COLLEGES (année scolaire 2024/2025);GEORGES BRAQUE;91 RUE BRILLAT-SAVARIN;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.3428861827644454, 48.82458829124478], ""type"": ""Point""}";48.82458829124478, 2.3428861827644454
COLLEGES (année scolaire 2024/2025);JEAN-BAPTISTE CLEMENT;26 RUE HENRI CHEVREAU;20ème Ardt;75120;2024-2025;Collège;"{""coordinates"": [2.3893779158619775, 48.86995320747503], ""type"": ""Point""}";48.86995320747503, 2.3893779158619775
COLLEGES (année scolaire 2025/2026);CLAUDE MONET;1 RUE DU DOCTEUR MAGNAN;13ème Ardt;75113;2025-2026;Collège;"{""coordinates"": [2.3623243534171525, 48.827434468723496], ""type"": ""Point""}";48.827434468723496, 2.3623243534171525
COLLEGES (année scolaire 2025/2026);GUY FLAVIEN;6 RUE D' ARTAGNAN;12ème Ardt;75112;2025-2026;Collège;"{""coordinates"": [2.386137299021649, 48.845408021178045], ""type"": ""Point""}";48.845408021178045, 2.386137299021649
COLLEGES (année scolaire 2025/2026);CHARLES PEGUY;69 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3765366364279124, 48.87628979019915], ""type"": ""Point""}";48.87628979019915, 2.3765366364279124
COLLEGES (année scolaire 2025/2026);JEAN-BAPTISTE CLEMENT;26 RUE HENRI CHEVREAU;20ème Ardt;75120;2025-2026;Collège;"{""coordinates"": [2.3893779158619775, 48.86995320747503], ""type"": ""Point""}";48.86995320747503, 2.3893779158619775
COLLEGES (année scolaire 2020/2021);ROLAND DORGELES;63 RUE DE CLIGNANCOURT;18ème Ardt;75118;2020-2021;Collège;"{""coordinates"": [2.3478620292642036, 48.88824190894073], ""type"": ""Point""}";48.88824190894073, 2.3478620292642036
COLLEGES (année scolaire 2020/2021);CLAUDE CHAPPE;9 RUE DES ALOUETTES;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.385349731136482, 48.877493391773086], ""type"": ""Point""}";48.877493391773086, 2.385349731136482
COLLEGES (année scolaire 2020/2021);PIERRE MENDES FRANCE;24 RUE LE VAU;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.411159984926502, 48.86805832906415], ""type"": ""Point""}";48.86805832906415, 2.411159984926502
COLLEGES (année scolaire 2020/2021);LOUISE MICHEL;11 RUE JEAN POULMARCH;10ème Ardt;75110;2020-2021;Collège;"{""coordinates"": [2.3636082456277463, 48.872309051411165], ""type"": ""Point""}";48.872309051411165, 2.3636082456277463
COLLEGES (année scolaire 2020/2021);GABRIEL FAURE;81 AVENUE DE CHOISY;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3614072621205247, 48.82404489633227], ""type"": ""Point""}";48.82404489633227, 2.3614072621205247
COLLEGES (année scolaire 2021/2022);FRANCOISE SELIGMAN;21 RUE DE SAMBRE-ET-MEUSE;10ème Ardt;75110;2021-2022;Collège;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2021/2022);MAURICE RAVEL;89 COURS DE VINCENNES;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.4083375178390534, 48.84767113661859], ""type"": ""Point""}";48.84767113661859, 2.4083375178390534
COLLEGES (année scolaire 2021/2022);PAUL VALERY;38 BOULEVARD SOULT;12ème Ardt;75112;2021-2022;Collège;"{""coordinates"": [2.4091790646003752, 48.83984209312885], ""type"": ""Point""}";48.83984209312885, 2.4091790646003752
COLLEGES (année scolaire 2021/2022);GABRIEL FAURE;81 AVENUE DE CHOISY;13ème Ardt;75113;2021-2022;Collège;"{""coordinates"": [2.3614072621205247, 48.82404489633227], ""type"": ""Point""}";48.82404489633227, 2.3614072621205247
COLLEGES (année scolaire 2021/2022);GUSTAVE FLAUBERT;82 AVENUE D' IVRY;13ème Ardt;75113;2021-2022;Collège;"{""coordinates"": [2.3626597620602254, 48.82496991497496], ""type"": ""Point""}";48.82496991497496, 2.3626597620602254
COLLEGES (année scolaire 2021/2022);PIERRE MENDES FRANCE;24 RUE LE VAU;20ème Ardt;75120;2021-2022;Collège;"{""coordinates"": [2.411159984926502, 48.86805832906415], ""type"": ""Point""}";48.86805832906415, 2.411159984926502
COLLEGES (année scolaire 2021/2022);MARX DORMOY;55 RUE MARX DORMOY;18ème Ardt;75118;2021-2022;Collège;"{""coordinates"": [2.359697412102091, 48.888496875091114], ""type"": ""Point""}";48.888496875091114, 2.359697412102091
COLLEGES (année scolaire 2021/2022);EDGAR VARESE;16 RUE ADOLPHE MILLE;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.388586748411057, 48.88915990325219], ""type"": ""Point""}";48.88915990325219, 2.388586748411057
COLLEGES (année scolaire 2021/2022);MONTGOLFIER;15 RUE MONTGOLFIER;3ème Ardt;75103;2021-2022;Collège;"{""coordinates"": [2.3573979777840735, 48.86669135689307], ""type"": ""Point""}";48.86669135689307, 2.3573979777840735
COLLEGES (année scolaire 2022/2023);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2022/2023);MOLIERE;71 RUE DU RANELAGH;16ème Ardt;75116;2022-2023;Collège;"{""coordinates"": [2.272125246761933, 48.85500051295463], ""type"": ""Point""}";48.85500051295463, 2.272125246761933
COLLEGES (année scolaire 2023/2024);GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;2023-2024;Collège;"{""coordinates"": [2.3703616254082545, 48.88807096328259], ""type"": ""Point""}";48.88807096328259, 2.3703616254082545
COLLEGES (année scolaire 2023/2024);RAYMOND QUENEAU;66 BOULEVARD SAINT-MARCEL;5ème Ardt;75105;2023-2024;Collège;"{""coordinates"": [2.3546739157184287, 48.83789635698398], ""type"": ""Point""}";48.83789635698398, 2.3546739157184287
COLLEGES (année scolaire 2023/2024);GABRIEL FAURE;81 AVENUE DE CHOISY;13ème Ardt;75113;2023-2024;Collège;"{""coordinates"": [2.3614072621205247, 48.82404489633227], ""type"": ""Point""}";48.82404489633227, 2.3614072621205247
COLLEGES (année scolaire 2023/2024);ANDRE CITROEN;208 RUE SAINT-CHARLES;15ème Ardt;75115;2023-2024;Collège;"{""coordinates"": [2.2785902524445145, 48.838859569842995], ""type"": ""Point""}";48.838859569842995, 2.2785902524445145
COLLEGES (année scolaire 2023/2024);ALPHONSE DAUDET;93 RUE D' ALESIA;14ème Ardt;75114;2023-2024;Collège;"{""coordinates"": [2.3259094075851534, 48.82801240851196], ""type"": ""Point""}";48.82801240851196, 2.3259094075851534
COLLEGES (année scolaire 2023/2024);MAURICE RAVEL;89 COURS DE VINCENNES;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.4083375178390534, 48.84767113661859], ""type"": ""Point""}";48.84767113661859, 2.4083375178390534
COLLEGES (année scolaire 2024/2025);EVARISTE GALOIS;11 RUE DU DOCTEUR BOURNEVILLE;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.358378714817569, 48.81844173613279], ""type"": ""Point""}";48.81844173613279, 2.358378714817569
COLLEGES (année scolaire 2024/2025);DANIEL MAYER;2 PLACE HEBERT;18ème Ardt;75118;2024-2025;Collège;"{""coordinates"": [2.363861812299952, 48.893141293813464], ""type"": ""Point""}";48.893141293813464, 2.363861812299952
COLLEGES (année scolaire 2024/2025);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2024-2025;Collège;"{""coordinates"": [2.374321375328781, 48.86823413928675], ""type"": ""Point""}";48.86823413928675, 2.374321375328781
COLLEGES (année scolaire 2024/2025);PAUL VERLAINE;167 RUE DE BERCY;12ème Ardt;75112;2024-2025;Collège;"{""coordinates"": [2.375238551801449, 48.84260745086261], ""type"": ""Point""}";48.84260745086261, 2.375238551801449
COLLEGES (année scolaire 2024/2025);JULES VERNE;20 RUE DE LA BRECHE AUX LOUPS;12ème Ardt;75112;2024-2025;Collège;"{""coordinates"": [2.3941783022137617, 48.8375505143775], ""type"": ""Point""}";48.8375505143775, 2.3941783022137617
COLLEGES (année scolaire 2025/2026);CARNOT;145 BOULEVARD MALESHERBES;17ème Ardt;75117;2025-2026;Collège;"{""coordinates"": [2.3078439600154557, 48.88447741020547], ""type"": ""Point""}";48.88447741020547, 2.3078439600154557
COLLEGES (année scolaire 2025/2026);JEAN-BAPTISTE POQUELIN;6 RUE MOLIERE;1er Ardt;75101;2025-2026;Collège;"{""coordinates"": [2.335488361254741, 48.86465286301919], ""type"": ""Point""}";48.86465286301919, 2.335488361254741
COLLEGES (année scolaire 2025/2026);GEORGES BRASSENS;4 RUE ERIK SATIE;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3863943215388685, 48.88433022802427], ""type"": ""Point""}";48.88433022802427, 2.3863943215388685
COLLEGES (année scolaire 2025/2026);CAMILLE SEE;11 RUE LEON LHERMITTE;15ème Ardt;75115;2025-2026;Collège;"{""coordinates"": [2.2969840321284276, 48.84299079681964], ""type"": ""Point""}";48.84299079681964, 2.2969840321284276
COLLEGES (année scolaire 2025/2026);ANTOINE COYSEVOX;16 RUE COYSEVOX;18ème Ardt;75118;2025-2026;Collège;"{""coordinates"": [2.3298201952433653, 48.89161762679698], ""type"": ""Point""}";48.89161762679698, 2.3298201952433653
COLLEGES (année scolaire 2025/2026);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2025-2026;Collège;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
COLLEGES (année scolaire 2025/2026);PIERRE JEAN DE BERANGER;5 RUE BERANGER;3ème Ardt;75103;2025-2026;Collège;"{""coordinates"": [2.3642603834093108, 48.865016990354505], ""type"": ""Point""}";48.865016990354505, 2.3642603834093108
COLLEGES (année scolaire 2020/2021);ST EXUPERY;89 BOULEVARD ARAGO;14ème Ardt;75114;2020-2021;Collège;"{""coordinates"": [2.3354369048459884, 48.834349034877256], ""type"": ""Point""}";48.834349034877256, 2.3354369048459884
COLLEGES (année scolaire 2020/2021);CHARLES PEGUY;69 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.3765366364279124, 48.87628979019915], ""type"": ""Point""}";48.87628979019915, 2.3765366364279124
COLLEGES (année scolaire 2020/2021);GEORGES BRASSENS;4 RUE ERIK SATIE;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.3863943215388685, 48.88433022802427], ""type"": ""Point""}";48.88433022802427, 2.3863943215388685
COLLEGES (année scolaire 2020/2021);EDMOND MICHELET;70 RUE DE L' OURCQ;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.376485834379865, 48.89366655755415], ""type"": ""Point""}";48.89366655755415, 2.376485834379865
COLLEGES (année scolaire 2020/2021);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2021/2022);JEAN MOULIN;75 RUE D' ALESIA;14ème Ardt;75114;2021-2022;Collège;"{""coordinates"": [2.3283199536449017, 48.827730325591624], ""type"": ""Point""}";48.827730325591624, 2.3283199536449017
COLLEGES (année scolaire 2021/2022);AIME CESAIRE;22 RUE PAJOL;18ème Ardt;75118;2021-2022;Collège;"{""coordinates"": [2.363067598532842, 48.8895947927362], ""type"": ""Point""}";48.8895947927362, 2.363067598532842
COLLEGES (année scolaire 2021/2022);SONIA DELAUNAY;14 RUE EURYALE DEHAYNIN;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.3781287412764107, 48.88593429740651], ""type"": ""Point""}";48.88593429740651, 2.3781287412764107
COLLEGES (année scolaire 2021/2022);HECTOR BERLIOZ;17 RUE GEORGETTE AGUTTE;18ème Ardt;75118;2021-2022;Collège;"{""coordinates"": [2.332815674978112, 48.89581466967536], ""type"": ""Point""}";48.89581466967536, 2.332815674978112
COLLEGES (année scolaire 2022/2023);ANDRE MALRAUX;5 bis RUE SAINT-FERDINAND;17ème Ardt;75117;2022-2023;Collège;"{""coordinates"": [2.290514944291562, 48.87881043889032], ""type"": ""Point""}";48.87881043889032, 2.290514944291562
COLLEGES (année scolaire 2022/2023);MONTAIGNE;17 RUE AUGUSTE COMTE;6ème Ardt;75106;2022-2023;Collège;"{""coordinates"": [2.3348321149353644, 48.844237396416126], ""type"": ""Point""}";48.844237396416126, 2.3348321149353644
COLLEGES (année scolaire 2022/2023);AMEDEO MODIGLIANI;1 RUE DE CHERBOURG;15ème Ardt;75115;2022-2023;Collège;"{""coordinates"": [2.3047394660611222, 48.83170273369949], ""type"": ""Point""}";48.83170273369949, 2.3047394660611222
COLLEGES (année scolaire 2022/2023);FRANCOISE SELIGMAN;21 RUE DE SAMBRE ET MEUSE;10ème Ardt;75110;2022-2023;Collège;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2023/2024);LEON GAMBETTA;149 AVENUE GAMBETTA;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.402724143981059, 48.869999093875464], ""type"": ""Point""}";48.869999093875464, 2.402724143981059
COLLEGES (année scolaire 2023/2024);CESAR FRANCK;5 RUE DE LA JUSSIENNE;2ème Ardt;75102;2023-2024;Collège;"{""coordinates"": [2.3442026798992033, 48.86535583739994], ""type"": ""Point""}";48.86535583739994, 2.3442026798992033
COLLEGES (année scolaire 2023/2024);GEORGES BRAQUE;91 RUE BRILLAT-SAVARIN;13ème Ardt;75113;2023-2024;Collège;"{""coordinates"": [2.3428861827644454, 48.82458829124478], ""type"": ""Point""}";48.82458829124478, 2.3428861827644454
COLLEGES (année scolaire 2023/2024);JEAN-BAPTISTE SAY;11 bis RUE D' AUTEUIL;16ème Ardt;75116;2023-2024;Collège;"{""coordinates"": [2.267323661986637, 48.847305414456955], ""type"": ""Point""}";48.847305414456955, 2.267323661986637
COLLEGES (année scolaire 2024/2025);JEAN DE LA FONTAINE;1 PLACE DE LA PORTE MOLITOR;16ème Ardt;75116;2024-2025;Collège;"{""coordinates"": [2.2565776954864436, 48.845190601685545], ""type"": ""Point""}";48.845190601685545, 2.2565776954864436
COLLEGES (année scolaire 2024/2025);SUZANNE LACORE;149 BOULEVARD MACDONALD;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.3788765489694663, 48.898608723283154], ""type"": ""Point""}";48.898608723283154, 2.3788765489694663
COLLEGES (année scolaire 2024/2025);JACQUES DECOUR;12 AVENUE TRUDAINE;9ème Ardt;75109;2024-2025;Collège;"{""coordinates"": [2.3434236996737567, 48.8814862743419], ""type"": ""Point""}";48.8814862743419, 2.3434236996737567
COLLEGES (année scolaire 2025/2026);JEAN-BAPTISTE SAY;11 bis RUE D' AUTEUIL;16ème Ardt;75116;2025-2026;Collège;"{""coordinates"": [2.267323661986637, 48.847305414456955], ""type"": ""Point""}";48.847305414456955, 2.267323661986637
COLLEGES (année scolaire 2025/2026);CONDORCET;61 RUE D' AMSTERDAM;8ème Ardt;75108;2025-2026;Collège;"{""coordinates"": [2.32697162874192, 48.88097843520577], ""type"": ""Point""}";48.88097843520577, 2.32697162874192
COLLEGES (année scolaire 2025/2026);JANSON DE SAILLY;106 RUE DE LA POMPE;16ème Ardt;75116;2025-2026;Collège;"{""coordinates"": [2.2794523152558988, 48.865560914141476], ""type"": ""Point""}";48.865560914141476, 2.2794523152558988
COLLEGES (année scolaire 2025/2026);ROBERT DOISNEAU;51 RUE DES PANOYAUX;20ème Ardt;75120;2025-2026;Collège;"{""coordinates"": [2.387974290425766, 48.86707415481146], ""type"": ""Point""}";48.86707415481146, 2.387974290425766
COLLEGES (année scolaire 2025/2026);GUILLAUME BUDE;7 RUE JEAN QUARRE;19ème Ardt;75119;2025-2026;Collège;"{""coordinates"": [2.3962860153598617, 48.87683379506429], ""type"": ""Point""}";48.87683379506429, 2.3962860153598617
COLLEGES (année scolaire 2025/2026);GUILLAUME APOLLINAIRE;39 AVENUE EMILE ZOLA;15ème Ardt;75115;2025-2026;Collège;"{""coordinates"": [2.282679643541085, 48.8465711128111], ""type"": ""Point""}";48.8465711128111, 2.282679643541085
COLLEGES (année scolaire 2025/2026);LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;2025-2026;Collège;"{""coordinates"": [2.374321375328781, 48.86823413928675], ""type"": ""Point""}";48.86823413928675, 2.374321375328781
COLLEGES (année scolaire 2025/2026);VALMY;199 QUAI DE VALMY;10ème Ardt;75110;2025-2026;Collège;"{""coordinates"": [2.368318407704825, 48.881623867084365], ""type"": ""Point""}";48.881623867084365, 2.368318407704825
COLLEGES (année scolaire 2025/2026);PAUL VALERY;38 BOULEVARD SOULT;12ème Ardt;75112;2025-2026;Collège;"{""coordinates"": [2.4091790646003752, 48.83984209312885], ""type"": ""Point""}";48.83984209312885, 2.4091790646003752
COLLEGES (année scolaire 2020/2021);VOLTAIRE;101 AVENUE DE LA REPUBLIQUE;11ème Ardt;75111;2020-2021;Collège;"{""coordinates"": [2.3845254514835212, 48.86352557226195], ""type"": ""Point""}";48.86352557226195, 2.3845254514835212
COLLEGES (année scolaire 2020/2021);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2020-2021;Collège;"{""coordinates"": [2.3789595976766833, 48.881293191571345], ""type"": ""Point""}";48.881293191571345, 2.3789595976766833
COLLEGES (année scolaire 2020/2021);GEORGES COURTELINE;48 bis AVENUE DU DOCTEUR ARNOLD NETTER;12ème Ardt;75112;2020-2021;Collège;"{""coordinates"": [2.4057395667212846, 48.8441317781261], ""type"": ""Point""}";48.8441317781261, 2.4057395667212846
COLLEGES (année scolaire 2020/2021);HELENE BOUCHER;75 COURS DE VINCENNES;20ème Ardt;75120;2020-2021;Collège;"{""coordinates"": [2.4069675330447433, 48.84781843548246], ""type"": ""Point""}";48.84781843548246, 2.4069675330447433
COLLEGES (année scolaire 2020/2021);GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;2020-2021;Collège;"{""coordinates"": [2.3558852290755237, 48.82601379702334], ""type"": ""Point""}";48.82601379702334, 2.3558852290755237
COLLEGES (année scolaire 2020/2021);GUY FLAVIEN;6 RUE D' ARTAGNAN;12ème Ardt;75112;2020-2021;Collège;"{""coordinates"": [2.386137299021649, 48.845408021178045], ""type"": ""Point""}";48.845408021178045, 2.386137299021649
COLLEGES (année scolaire 2021/2022);JULES VERNE;20 RUE DE LA BRECHE AUX LOUPS;12ème Ardt;75112;2021-2022;Collège;"{""coordinates"": [2.3941783022137617, 48.8375505143775], ""type"": ""Point""}";48.8375505143775, 2.3941783022137617
COLLEGES (année scolaire 2021/2022);CHARLES PEGUY;69 AVENUE SIMON BOLIVAR;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.3765366364279124, 48.87628979019915], ""type"": ""Point""}";48.87628979019915, 2.3765366364279124
COLLEGES (année scolaire 2021/2022);JULES FERRY;77 bis BOULEVARD DE CLICHY;9ème Ardt;75109;2021-2022;Collège;"{""coordinates"": [2.3291456039155314, 48.8843501739233], ""type"": ""Point""}";48.8843501739233, 2.3291456039155314
COLLEGES (année scolaire 2021/2022);LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;9ème Ardt;75109;2021-2022;Collège;"{""coordinates"": [2.349089434845314, 48.87838139909923], ""type"": ""Point""}";48.87838139909923, 2.349089434845314
COLLEGES (année scolaire 2021/2022);HENRI BERGSON;27 bis RUE EDOUARD PAILLERON;19ème Ardt;75119;2021-2022;Collège;"{""coordinates"": [2.378040375653599, 48.881137694884536], ""type"": ""Point""}";48.881137694884536, 2.378040375653599
COLLEGES (année scolaire 2022/2023);MADAME DE STAEL;14 RUE DE STAEL;15ème Ardt;75115;2022-2023;Collège;"{""coordinates"": [2.3101706958480466, 48.843618305404966], ""type"": ""Point""}";48.843618305404966, 2.3101706958480466
COLLEGES (année scolaire 2022/2023);PAUL BERT;8 RUE HUYGHENS;14ème Ardt;75114;2022-2023;Collège;"{""coordinates"": [2.328851213098646, 48.84104135758076], ""type"": ""Point""}";48.84104135758076, 2.328851213098646
COLLEGES (année scolaire 2022/2023);CLAUDE CHAPPE;9 RUE DES ALOUETTES;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.385349731136482, 48.877493391773086], ""type"": ""Point""}";48.877493391773086, 2.385349731136482
COLLEGES (année scolaire 2022/2023);ANNE FRANK;38 RUE TROUSSEAU;11ème Ardt;75111;2022-2023;Collège;"{""coordinates"": [2.379036766249539, 48.85192514675005], ""type"": ""Point""}";48.85192514675005, 2.379036766249539
COLLEGES (année scolaire 2022/2023);GERARD PHILIPE;8 RUE DES AMIRAUX;18ème Ardt;75118;2022-2023;Collège;"{""coordinates"": [2.351945405253571, 48.89445882794094], ""type"": ""Point""}";48.89445882794094, 2.351945405253571
COLLEGES (année scolaire 2022/2023);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2022-2023;Collège;"{""coordinates"": [2.3527133607661415, 48.82878642051567], ""type"": ""Point""}";48.82878642051567, 2.3527133607661415
COLLEGES (année scolaire 2022/2023);BORIS VIAN;76 BOULEVARD BERTHIER;17ème Ardt;75117;2022-2023;Collège;"{""coordinates"": [2.3044618079108674, 48.890576927502146], ""type"": ""Point""}";48.890576927502146, 2.3044618079108674
COLLEGES (année scolaire 2022/2023);PILATRE DE ROZIER;11 RUE BOUVIER;11ème Ardt;75111;2022-2023;Collège;"{""coordinates"": [2.387212273993633, 48.851962677558625], ""type"": ""Point""}";48.851962677558625, 2.387212273993633
COLLEGES (année scolaire 2022/2023);LA GRANGE AUX BELLES;158 QUAI DE JEMMAPES;10ème Ardt;75110;2022-2023;Collège;"{""coordinates"": [2.366634856571281, 48.87798501995133], ""type"": ""Point""}";48.87798501995133, 2.366634856571281
COLLEGES (année scolaire 2022/2023);SUZANNE LACORE;149 BOULEVARD MACDONALD;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.3788765489694663, 48.898608723283154], ""type"": ""Point""}";48.898608723283154, 2.3788765489694663
COLLEGES (année scolaire 2022/2023);GEORGES BRASSENS;4 RUE ERIK SATIE;19ème Ardt;75119;2022-2023;Collège;"{""coordinates"": [2.3863943215388685, 48.88433022802427], ""type"": ""Point""}";48.88433022802427, 2.3863943215388685
COLLEGES (année scolaire 2022/2023);JULES FERRY;77 bis BOULEVARD DE CLICHY;9ème Ardt;75109;2022-2023;Collège;"{""coordinates"": [2.3291456039155314, 48.8843501739233], ""type"": ""Point""}";48.8843501739233, 2.3291456039155314
COLLEGES (année scolaire 2023/2024);FLORA TRISTAN;4 RUE GALLERON;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.404630008354641, 48.85874304494558], ""type"": ""Point""}";48.85874304494558, 2.404630008354641
COLLEGES (année scolaire 2023/2024);COLETTE BESSON;9 RUE DES PANOYAUX;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.3849235011315018, 48.86642227484253], ""type"": ""Point""}";48.86642227484253, 2.3849235011315018
COLLEGES (année scolaire 2023/2024);HENRI MATISSE;3 RUE VITRUVE;20ème Ardt;75120;2023-2024;Collège;"{""coordinates"": [2.401975118872313, 48.85645682794513], ""type"": ""Point""}";48.85645682794513, 2.401975118872313
COLLEGES (année scolaire 2023/2024);VALMY;199 QUAI DE VALMY;10ème Ardt;75110;2023-2024;Collège;"{""coordinates"": [2.368318407704825, 48.881623867084365], ""type"": ""Point""}";48.881623867084365, 2.368318407704825
COLLEGES (année scolaire 2024/2025);FRANCOISE SELIGMAN;21 RUE DE SAMBRE ET MEUSE;10ème Ardt;75110;2024-2025;Collège;"{""coordinates"": [2.371691242263032, 48.87485079446566], ""type"": ""Point""}";48.87485079446566, 2.371691242263032
COLLEGES (année scolaire 2024/2025);GUILLAUME APOLLINAIRE;39 AVENUE EMILE ZOLA;15ème Ardt;75115;2024-2025;Collège;"{""coordinates"": [2.282679643541085, 48.8465711128111], ""type"": ""Point""}";48.8465711128111, 2.282679643541085
COLLEGES (année scolaire 2024/2025);MOULIN DES PRES;18 RUE DU MOULIN DES PRES;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.3527133607661415, 48.82878642051567], ""type"": ""Point""}";48.82878642051567, 2.3527133607661415
COLLEGES (année scolaire 2024/2025);AIME CESAIRE;22 RUE PAJOL;18ème Ardt;75118;2024-2025;Collège;"{""coordinates"": [2.363067598532842, 48.8895947927362], ""type"": ""Point""}";48.8895947927362, 2.363067598532842
COLLEGES (année scolaire 2024/2025);EDOUARD PAILLERON;35 RUE EDOUARD PAILLERON;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.3789595976766833, 48.881293191571345], ""type"": ""Point""}";48.881293191571345, 2.3789595976766833
COLLEGES (année scolaire 2024/2025);ELSA TRIOLET;9 RUE YEO THOMAS;13ème Ardt;75113;2024-2025;Collège;"{""coordinates"": [2.3625004439080515, 48.83141317840951], ""type"": ""Point""}";48.83141317840951, 2.3625004439080515
COLLEGES (année scolaire 2024/2025);LAMARTINE;121 RUE DU FAUBOURG POISSONNIERE;9ème Ardt;75109;2024-2025;Collège;"{""coordinates"": [2.349089434845314, 48.87838139909923], ""type"": ""Point""}";48.87838139909923, 2.349089434845314
COLLEGES (année scolaire 2024/2025);EDMOND MICHELET;70 RUE DE L' OURCQ;19ème Ardt;75119;2024-2025;Collège;"{""coordinates"": [2.376485834379865, 48.89366655755415], ""type"": ""Point""}";48.89366655755415, 2.376485834379865
